event_id,datetime,security,frequency,category,type,direction,count,perfect,reason,setup_type,setup_perfect,setup_first_dt,setup_last_dt,setup_highest_high,tdst_threshold,countdown_start_dt,count_1_dt,count_2_dt,count_3_dt,count_4_dt,count_5_dt,count_6_dt,count_7_dt,count_8_dt,countdown_8_close,count_9_dt,count_10_dt,count_11_dt,count_12_dt,count_13_dt,countdown_low_dt,countdown_low,countdown_low_bar_high,bar_close,bar_high,bar_low,pre20_avg_amount,pre20_volatility,pre20_return
000858SZ_2025-01-07T000000_BUY_COUNTDOWN_PROGRESS_1_2024-12-26T000000_7,2025-01-07 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,7,,,BUY_SETUP,False,2024-12-16 00:00:00,2024-12-26 00:00:00,139.72,139.72,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,,,,,,,,2025-01-07 00:00:00,121.28,123.34,122.53,123.34,121.28,2864108520.0,0.012676,-0.129635
000858SZ_2025-01-08T000000_BUY_COUNTDOWN_PROGRESS_1_2024-12-26T000000_8,2025-01-08 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,8,,,BUY_SETUP,False,2024-12-16 00:00:00,2024-12-26 00:00:00,139.72,139.72,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,121.38,,,,,,2025-01-08 00:00:00,119.7,123.42,121.38,123.42,119.7,2638210010.0,0.012489,-0.139637
600036SS_2025-01-08T000000_SELL_COUNTDOWN_PROGRESS_-1_2024-12-10T000000_8,2025-01-08 00:00:00,600036.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,8,,,SELL_SETUP,True,2024-11-28 00:00:00,2024-12-10 00:00:00,35.98,33.17,2024-12-10 00:00:00,2024-12-10 00:00:00,2024-12-11 00:00:00,2024-12-18 00:00:00,2024-12-24 00:00:00,2024-12-25 00:00:00,2024-12-26 00:00:00,2024-12-30 00:00:00,2025-01-08 00:00:00,36.27,,,,,,2024-12-18 00:00:00,34.85,35.65,36.27,36.54,35.81,2674904975.0,0.015131,0.02777
600519SS_2025-01-10T000000_BUY_SETUP_1_2025-01-10T000000_9,2025-01-10 00:00:00,600519.SS,1d,SETUP,BUY_SETUP,1,9,False,,BUY_SETUP,False,2024-12-30 00:00:00,2025-01-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,4772062510.0,0.010573,-0.040954
600519SS_2025-01-10T000000_BUY_COUNTDOWN_CANCEL_1_2024-11-25T000000_10,2025-01-10 00:00:00,600519.SS,1d,COUNTDOWN,BUY_COUNTDOWN_CANCEL,1,10,,same_setup,BUY_SETUP,True,2024-11-13 00:00:00,2024-11-25 00:00:00,1519.01,1519.01,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-12-05 00:00:00,2024-12-13 00:00:00,2024-12-16 00:00:00,2024-12-20 00:00:00,2024-12-23 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,1423.44,2025-01-06 00:00:00,2025-01-07 00:00:00,,,,2025-01-06 00:00:00,1381.24,1411.1,1384.44,1400.39,1384.44,4772062510.0,0.010573,-0.040954
000858SZ_2025-01-10T000000_BUY_SETUP_1_2025-01-10T000000_9,2025-01-10 00:00:00,000858.SZ,1d,SETUP,BUY_SETUP,1,9,False,,BUY_SETUP,False,2024-12-30 00:00:00,2025-01-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,2489266625.0,0.010988,-0.139135
000858SZ_2025-01-10T000000_BUY_COUNTDOWN_CANCEL_1_2024-12-26T000000_8,2025-01-10 00:00:00,000858.SZ,1d,COUNTDOWN,BUY_COUNTDOWN_CANCEL,1,8,,same_setup,BUY_SETUP,False,2024-12-16 00:00:00,2024-12-26 00:00:00,139.72,139.72,2024-12-26 00:00:00,2024-12-27 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,121.38,,,,,,2025-01-08 00:00:00,119.7,123.42,120.28,122.51,120.28,2489266625.0,0.010988,-0.139135
601318SS_2025-01-13T000000_BUY_SETUP_PERFECT_1_2025-01-13T000000_9,2025-01-13 00:00:00,601318.SS,1d,SETUP,BUY_SETUP_PERFECT,1,9,True,,BUY_SETUP,True,2024-12-31 00:00:00,2025-01-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,2708601360.0,0.012124,-0.089579
601318SS_2025-01-13T000000_BUY_COUNTDOWN_PROGRESS_1_2025-01-13T000000_1,2025-01-13 00:00:00,601318.SS,1d,COUNTDOWN,BUY_COUNTDOWN_PROGRESS,1,1,,,BUY_SETUP,True,2024-12-31 00:00:00,2025-01-13 00:00:00,51.47,51.47,2025-01-13 00:00:00,2025-01-13 00:00:00,,,,,,,,,,,,,,2025-01-13 00:00:00,45.55,46.25,46.04,46.25,45.55,2708601360.0,0.012124,-0.089579
600036SS_2025-01-14T000000_SELL_COUNTDOWN_PROGRESS_-1_2024-12-10T000000_9,2025-01-14 00:00:00,600036.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,9,,,SELL_SETUP,True,2024-11-28 00:00:00,2024-12-10 00:00:00,35.98,33.17,2024-12-10 00:00:00,2024-12-10 00:00:00,2024-12-11 00:00:00,2024-12-18 00:00:00,2024-12-24 00:00:00,2024-12-25 00:00:00,2024-12-26 00:00:00,2024-12-30 00:00:00,2025-01-08 00:00:00,36.27,2025-01-14 00:00:00,,,,,2024-12-18 00:00:00,34.85,35.65,36.84,36.96,35.89,2570664735.0,0.011756,0.057405
600036SS_2025-01-15T000000_SELL_COUNTDOWN_PROGRESS_-1_2024-12-10T000000_10,2025-01-15 00:00:00,600036.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,10,,,SELL_SETUP,True,2024-11-28 00:00:00,2024-12-10 00:00:00,35.98,33.17,2024-12-10 00:00:00,2024-12-10 00:00:00,2024-12-11 00:00:00,2024-12-18 00:00:00,2024-12-24 00:00:00,2024-12-25 00:00:00,2024-12-26 00:00:00,2024-12-30 00:00:00,2025-01-08 00:00:00,36.27,2025-01-14 00:00:00,2025-01-15 00:00:00,,,,2024-12-18 00:00:00,34.85,35.65,37.63,37.99,36.88,2618015005.0,0.011925,0.059701
600036SS_2025-01-16T000000_SELL_COUNTDOWN_PROGRESS_-1_2024-12-10T000000_11,2025-01-16 00:00:00,600036.SS,1d,COUNTDOWN,SELL_COUNTDOWN_PROGRESS,-1,11,,,SELL_SETUP,True,2024-11-28 00:00:00,2024-12-10 00:00:00,35.98,33.17,2024-12-10 00:00:00,2024-12-10 00:00:00,2024-12-11 00:00:00,2024-12-18 00:00:00,2024-12-24 00:00:00,2024-12-25 00:00:00,2024-12-26 00:00:00,2024-12-30 00:00:00,2025-01-08 00:00:00,36.27,2025-01-14 00:00:00,2025-01-15 00:00:00,2025-01-16 00:00:00,,,2024-12-18 00:00:00,34.85,35.65,37.98,38.14,37.52,2584084330.0,0.011275,0.084833
