datetime,security,setup_completed_at,setup_is_perfect,setup_highest_high,count_1_at,count_2_at,count_3_at,count_4_at,count_5_at,count_6_at,count_7_at,count_8_at,count_8_close,count_9_at,count_10_at,count_11_at,count_12_at,count_13_at,countdown_completed_count,countdown_is_perfect,countdown_status,bought,buy_reject_reason,buy_quantity,buy_price,buy_date,entry_value,stop_loss_price,take_profit_price,sell_price,sell_date,sell_reason,pnl
2025-01-10 00:00:00,000858.SZ,2024-12-26 00:00:00,False,139.72,2024-12-27 00:00:00,2024-12-30 00:00:00,2024-12-31 00:00:00,2025-01-02 00:00:00,2025-01-03 00:00:00,2025-01-06 00:00:00,2025-01-07 00:00:00,2025-01-08 00:00:00,121.38,,,,,,8,,CANCEL_BY_SAME_SETUP,False,,,,,,,,,,,
2025-06-13 00:00:00,000858.SZ,2025-01-10 00:00:00,False,135.28,2025-01-22 00:00:00,2025-01-23 00:00:00,2025-01-27 00:00:00,2025-02-05 00:00:00,2025-02-06 00:00:00,2025-02-25 00:00:00,2025-02-26 00:00:00,2025-03-04 00:00:00,124.0,2025-03-05 00:00:00,2025-03-19 00:00:00,2025-03-20 00:00:00,2025-03-21 00:00:00,2025-03-24 00:00:00,13,False,NORMAL,True,,700,133.56,2025-03-25 15:00:00,93492.0,115.39,160.815,115.39,2025-06-13 00:00:00,STOP_LOSS,-12719.0
2025-06-16 00:00:00,000858.SZ,2025-04-01 00:00:00,True,133.25,2025-04-01 00:00:00,2025-04-02 00:00:00,2025-04-07 00:00:00,2025-04-21 00:00:00,2025-04-22 00:00:00,2025-04-23 00:00:00,2025-04-24 00:00:00,2025-04-25 00:00:00,123.3,2025-04-30 00:00:00,2025-05-16 00:00:00,2025-05-19 00:00:00,2025-05-20 00:00:00,2025-05-23 00:00:00,13,True,NORMAL,True,,700,126.41,2025-05-26 15:00:00,88487.0,111.4,148.925,111.4,2025-06-16 00:00:00,STOP_LOSS,-10507.0
2025-07-15 00:00:00,000858.SZ,2025-05-28 00:00:00,True,127.84,2025-06-03 00:00:00,2025-06-04 00:00:00,2025-06-10 00:00:00,2025-06-12 00:00:00,2025-06-13 00:00:00,2025-06-16 00:00:00,2025-06-17 00:00:00,2025-06-19 00:00:00,111.53,2025-06-30 00:00:00,2025-07-01 00:00:00,,,,10,,CANCEL_BY_OPPOSITE_SETUP,False,,,,,,,,,,,
2025-12-04 00:00:00,000858.SZ,2025-09-24 00:00:00,True,127.09,2025-09-25 00:00:00,2025-09-26 00:00:00,2025-10-10 00:00:00,2025-10-13 00:00:00,2025-10-20 00:00:00,2025-10-21 00:00:00,2025-10-22 00:00:00,2025-10-28 00:00:00,117.52,2025-10-29 00:00:00,2025-10-30 00:00:00,2025-11-05 00:00:00,2025-11-06 00:00:00,2025-11-14 00:00:00,13,False,NORMAL,True,,800,120.15,2025-11-17 15:00:00,96120.0,112.42,131.745,112.42,2025-12-04 00:00:00,STOP_LOSS,-6184.0
